Area Name,Year,Month,Labor Force,Employment,Unemployment,Unemployment Rate,County,Region
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,September,"1,626,010","1,570,846","55,164",3.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,October,"1,626,257","1,572,428","53,829",3.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,November,"1,626,316","1,573,853","52,463",3.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,December,"1,626,498","1,575,284","51,214",3.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,January,"1,626,930","1,576,661","50,269",3.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,February,"1,627,743","1,578,125","49,618",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,March,"1,628,641","1,579,608","49,033",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,April,"1,629,028","1,580,657","48,371",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,May,"1,628,752","1,581,047","47,705",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,June,"1,628,372","1,581,268","47,104",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,July,"1,628,309","1,581,686","46,623",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,August,"1,628,790","1,582,259","46,531",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,September,"1,629,839","1,582,913","46,926",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,October,"1,631,286","1,583,552","47,734",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,November,"1,632,762","1,584,065","48,697",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2018,December,"1,633,690","1,584,258","49,432",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,January,"1,633,551","1,583,923","49,628",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,February,"1,632,392","1,583,215","49,177",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,March,"1,630,505","1,582,249","48,256",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,April,"1,628,473","1,581,441","47,032",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,May,"1,626,779","1,581,050","45,729",2.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,June,"1,625,859","1,581,201","44,658",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,July,"1,625,830","1,581,818","44,012",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,August,"1,626,466","1,582,703","43,763",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,September,"1,627,490","1,583,628","43,862",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,October,"1,628,749","1,584,547","44,202",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,November,"1,630,384","1,585,823","44,561",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2019,December,"1,632,448","1,587,687","44,761",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,January,"1,635,178","1,590,454","44,724",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,February,"1,638,248","1,593,746","44,502",2.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,March,"1,608,042","1,541,266","66,776",4.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,April,"1,561,688","1,332,307","229,381",14.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,May,"1,535,335","1,298,628","236,707",15.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,June,"1,578,856","1,380,206","198,650",12.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,July,"1,578,252","1,392,936","185,316",11.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,August,"1,555,646","1,404,107","151,539",9.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,September,"1,561,234","1,413,502","147,732",9.5%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,October,"1,548,932","1,420,975","127,957",8.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,November,"1,548,078","1,426,653","121,425",7.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2020,December,"1,548,106","1,431,046","117,060",7.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,January,"1,548,830","1,434,772","114,058",7.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,February,"1,550,560","1,438,848","111,712",7.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,March,"1,553,872","1,444,340","109,532",7.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,April,"1,558,542","1,451,504","107,038",6.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,May,"1,564,034","1,460,120","103,914",6.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,June,"1,569,297","1,469,355","99,942",6.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,July,"1,573,859","1,479,053","94,806",6.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,August,"1,577,704","1,489,104","88,600",5.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,September,"1,581,074","1,499,024","82,050",5.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,October,"1,584,105","1,508,279","75,826",4.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,November,"1,586,749","1,516,433","70,316",4.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2021,December,"1,588,921","1,523,322","65,599",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,January,"1,590,695","1,529,168","61,527",3.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,February,"1,591,917","1,533,962","57,955",3.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,March,"1,592,213","1,537,610","54,603",3.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,April,"1,591,902","1,540,380","51,522",3.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,May,"1,591,645","1,542,680","48,965",3.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,June,"1,591,725","1,544,459","47,266",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,July,"1,592,196","1,545,582","46,614",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,August,"1,593,057","1,546,288","46,769",2.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,September,"1,594,227","1,546,800","47,427",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,October,"1,595,738","1,547,281","48,457",3.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,November,"1,597,704","1,548,125","49,579",3.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2022,December,"1,600,089","1,549,506","50,583",3.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,January,"1,602,356","1,550,915","51,441",3.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,February,"1,604,197","1,552,131","52,066",3.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,March,"1,605,670","1,553,223","52,447",3.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,April,"1,606,981","1,554,240","52,741",3.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,May,"1,608,336","1,555,092","53,244",3.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,June,"1,610,088","1,555,978","54,110",3.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,July,"1,612,340","1,556,911","55,429",3.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,August,"1,614,760","1,557,644","57,116",3.5%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,September,"1,616,966","1,558,136","58,830",3.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,October,"1,618,719","1,558,472","60,247",3.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,November,"1,620,000","1,558,798","61,202",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2023,December,"1,620,887","1,559,341","61,546",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,January,"1,621,344","1,560,054","61,290",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,February,"1,621,524","1,560,634","60,890",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,March,"1,621,520","1,560,677","60,843",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,April,"1,621,678","1,560,413","61,265",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,May,"1,622,422","1,560,348","62,074",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,June,"1,623,680","1,560,480","63,200",3.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,July,"1,624,901","1,560,436","64,465",4.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,August,"1,625,774","1,560,225","65,549",4.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,September,"1,625,819","1,559,637","66,182",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,October,"1,624,939","1,558,615","66,324",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,November,"1,624,078","1,557,985","66,093",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2024,December,"1,623,772","1,557,860","65,912",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2025,January,"1,624,658","1,559,244","65,414",4.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2025,February,"1,626,070","1,561,308","64,762",4.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2025,March,"1,630,166","1,565,949","64,217",3.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2025,April,"1,635,697","1,571,360","64,337",3.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2025,May,"1,640,828","1,576,246","64,582",3.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2025,June,"1,644,501","1,578,803","65,698",4.0%,Orange County,Southern California
"Oakland-Fremont-Berkeley, CA Met Div",2015,January,"1,356,716","1,284,753","71,963",5.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,February,"1,358,088","1,287,346","70,742",5.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,March,"1,359,888","1,290,165","69,723",5.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,April,"1,361,995","1,293,257","68,738",5.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,May,"1,363,912","1,296,237","67,675",5.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,June,"1,365,063","1,298,560","66,503",4.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,July,"1,365,538","1,300,170","65,368",4.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,August,"1,365,752","1,301,346","64,406",4.7%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,September,"1,366,125","1,302,532","63,593",4.7%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,October,"1,367,230","1,304,256","62,974",4.6%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,November,"1,369,239","1,306,588","62,651",4.6%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2015,December,"1,371,682","1,309,190","62,492",4.6%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,January,"1,442,680","1,380,296","62,384",4.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,February,"1,444,939","1,382,600","62,339",4.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,March,"1,446,756","1,384,522","62,234",4.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,April,"1,448,260","1,386,175","62,085",4.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,May,"1,449,877","1,387,925","61,952",4.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,June,"1,451,726","1,389,953","61,773",4.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,July,"1,453,562","1,392,099","61,463",4.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,August,"1,455,270","1,394,172","61,098",4.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,September,"1,456,912","1,396,109","60,803",4.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,October,"1,458,470","1,398,027","60,443",4.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,November,"1,459,928","1,400,099","59,829",4.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2016,December,"1,461,233","1,402,270","58,963",4.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,January,"1,462,307","1,404,335","57,972",4.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,February,"1,463,141","1,406,224","56,917",3.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,March,"1,463,737","1,407,778","55,959",3.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,April,"1,464,289","1,409,115","55,174",3.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,May,"1,464,897","1,410,439","54,458",3.7%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,June,"1,465,537","1,411,818","53,719",3.7%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,July,"1,466,235","1,413,307","52,928",3.6%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,August,"1,466,687","1,414,713","51,974",3.5%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,September,"1,466,606","1,415,756","50,850",3.5%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,October,"1,466,110","1,416,475","49,635",3.4%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,November,"1,465,467","1,417,007","48,460",3.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2017,December,"1,465,210","1,417,800","47,410",3.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,January,"1,465,729","1,419,122","46,607",3.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,February,"1,467,124","1,421,119","46,005",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,March,"1,468,932","1,423,578","45,354",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,April,"1,470,422","1,425,910","44,512",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,May,"1,471,138","1,427,541","43,597",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,June,"1,471,164","1,428,402","42,762",2.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,July,"1,470,889","1,428,753","42,136",2.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,August,"1,470,791","1,428,781","42,010",2.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,September,"1,471,227","1,428,721","42,506",2.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,October,"1,472,309","1,428,784","43,525",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,November,"1,473,746","1,428,998","44,748",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2018,December,"1,474,803","1,429,066","45,737",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,January,"1,474,786","1,428,627","46,159",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,February,"1,473,596","1,427,686","45,910",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,March,"1,471,736","1,426,576","45,160",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,April,"1,469,986","1,425,924","44,062",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,May,"1,468,852","1,426,029","42,823",2.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,June,"1,468,524","1,426,785","41,739",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,July,"1,468,993","1,427,976","41,017",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,August,"1,470,064","1,429,388","40,676",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,September,"1,471,516","1,430,842","40,674",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,October,"1,472,987","1,432,098","40,889",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,November,"1,474,685","1,433,521","41,164",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2019,December,"1,476,714","1,435,308","41,406",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,January,"1,478,865","1,437,266","41,599",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,February,"1,481,251","1,439,102","42,149",2.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,March,"1,459,604","1,395,925","63,679",4.4%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,April,"1,410,849","1,203,733","207,116",14.7%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,May,"1,402,076","1,204,830","197,246",14.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,June,"1,430,094","1,259,100","170,994",12.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,July,"1,414,486","1,261,421","153,065",10.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,August,"1,410,251","1,281,350","128,901",9.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,September,"1,415,158","1,284,638","130,520",9.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,October,"1,401,097","1,288,024","113,073",8.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,November,"1,400,411","1,291,238","109,173",7.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2020,December,"1,399,979","1,294,328","105,651",7.5%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,January,"1,400,501","1,297,687","102,814",7.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,February,"1,402,118","1,301,588","100,530",7.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,March,"1,404,716","1,306,232","98,484",7.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,April,"1,408,104","1,311,760","96,344",6.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,May,"1,411,674","1,317,954","93,720",6.6%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,June,"1,414,657","1,324,411","90,246",6.4%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,July,"1,416,873","1,331,216","85,657",6.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,August,"1,418,528","1,338,329","80,199",5.7%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,September,"1,420,161","1,345,550","74,611",5.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,October,"1,422,402","1,352,999","69,403",4.9%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,November,"1,425,183","1,360,374","64,809",4.5%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2021,December,"1,427,950","1,367,146","60,804",4.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,January,"1,430,314","1,373,048","57,266",4.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,February,"1,431,716","1,377,773","53,943",3.8%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,March,"1,431,881","1,381,185","50,696",3.5%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,April,"1,431,133","1,383,525","47,608",3.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,May,"1,430,160","1,385,188","44,972",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,June,"1,429,552","1,386,383","43,169",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,July,"1,429,598","1,387,159","42,439",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,August,"1,430,281","1,387,679","42,602",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,September,"1,431,468","1,388,068","43,400",3.0%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,October,"1,433,196","1,388,471","44,725",3.1%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,November,"1,435,583","1,389,297","46,286",3.2%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2022,December,"1,438,600","1,390,778","47,822",3.3%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2023,January,"1,441,604","1,392,357","49,247",3.4%,Unknown,Unknown
"Oakland-Fremont-Berkeley, CA Met Div",2023,February,"1,444,096","1,393,660","50,436",3.5%,Unknown,Unknown
