#,Image,Name,Description,Common Locations,Recoverable Materials
114,https://www.zeldadungeon.net/wiki/images/thumb/4/49/Hyrule-Compendium-Blue-Lizalfos.png/72px-Hyrule-Compendium-Blue-Lizalfos.png,Blue Lizalfos,"These quick-witted, lizard-like monsters can be found all over Hyrule. Compared to the green Lizalfos, many of these carry much stronger weapons and are generally much tougher.","Tabantha Frontier,Gerudo Desert","Lizalfos Horn,Lizalfos Talon,Lizalfos Tail"
115,https://www.zeldadungeon.net/wiki/images/thumb/9/97/Hyrule-Compendium-Black-Lizalfos.png/72px-Hyrule-Compendium-Black-Lizalfos.png,Black Lizalfos,"These quick-witted, lizard-like monsters can be found all over Hyrule. This particular type tends to carry some pretty strong weapons, so they are among the most dangerous Lizalfos.","Hyrule Field,Hebra Mountains","Lizalfos Horn,Lizalfos Talon,Lizalfos Tail"
116,https://www.zeldadungeon.net/wiki/images/thumb/7/7b/Hyrule-Compendium-Stalizalfos.png/72px-Hyrule-Compendium-Stalizalfos.png,Stalizalfos,"The remains of Lizalfos appear in the dark of night. They're as sly as ever, even now that they're just some bones stacked atop each other. However, their bodies are much more fragile, and a single solid hit can reduce them to pieces. If a skull remains intact, they will pull themselves back up and continue to fight. They've been known to grab the wrong skull at times, but they never seem to mind...","Gerudo Desert,Hyrule Ridge","Lizalfos Horn,Lizalfos Talon"
117,https://www.zeldadungeon.net/wiki/images/thumb/2/2f/Hyrule-Compendium-Fire-Breath-Lizalfos.png/72px-Hyrule-Compendium-Fire-Breath-Lizalfos.png,Fire-Breath Lizalfos,"These quick-witted, lizard-like monsters can be found all over Hyrule. Their fiery breath makes them pretty dangerous, but exposure to cold will kill them instantly. They mainly make their homes in volcanic areas but have also been sighed in the Akkala region.","Eldin Canyon,Gerudo Desert","Lizalfos Horn,Lizalfos Talon,Red Lizalfos Tail"
118,https://www.zeldadungeon.net/wiki/images/thumb/3/35/Hyrule-Compendium-Ice-Breath-Lizalfos.png/72px-Hyrule-Compendium-Ice-Breath-Lizalfos.png,Ice-Breath Lizalfos,"These quick-witted, lizard-like monsters can be found all over Hyrule. The balls of ice they spit make them particularly troublesome, but exposure to fire will kill them instantly. Their homes are mainly on snowy mountains.","Gerudo Highlands,Hebra Mountains","Lizalfos Horn,Lizalfos Talon,Icy Lizalfos Tail"
119,https://www.zeldadungeon.net/wiki/images/thumb/d/d8/Hyrule-Compendium-Electric-Lizalfos.png/72px-Hyrule-Compendium-Electric-Lizalfos.png,Electric Lizalfos,"These quick-witted, lizard-like monsters can be found all over Hyrule. The can emit strong electrical currents from their bodies, so don't get too close. Their horns are brimming with electricity, which will discharge and arc to nearby areas if struck by an arrow. They tend to live in desert climates.","Gerudo Desert,Hyrule Ridge","Lizalfos Horn,Lizalfos Tail,Yellow Lizalfos Tail"
120,https://www.zeldadungeon.net/wiki/images/thumb/f/f6/Hyrule-Compendium-Silver-Lizalfos.png/72px-Hyrule-Compendium-Silver-Lizalfos.png,Silver Lizalfos,"These Lizalfos have been influenced by Ganon's fiendish magic to become the strongest Lizalfos of all. They're called ""silver"" for their unique coloring and also to denote their rarity. Their purple pattern makes them even more distinct.",Unknown,"Lizalfos Horn,Lizalfos Talon,Lizalfos Tail,Amber,Opal,Topaz,Ruby,Sapphire,Diamond"
121,https://www.zeldadungeon.net/wiki/images/thumb/f/fe/Hyrule-Compendium-Lynel.png/72px-Hyrule-Compendium-Lynel.png,Lynel,"These fearsome monsters have lived in Hyrule since ancient times. They possess intense intelligence, resilience, and strength, making them among the most dangerous monsters in all the land. This is compounded by the fact that they have a natural resistance to all elements. You would be wise to challenge a Lynel only if you're very well prepared.","Lanayru Great Spring,Hyrule Field","Lynel Horn,Lynel Hoof,Lynel Guts"
122,https://www.zeldadungeon.net/wiki/images/thumb/0/0c/Hyrule-Compendium-Blue-Maned-Lynel.png/72px-Hyrule-Compendium-Blue-Maned-Lynel.png,Blue-Maned Lynel,"These fearsome monsters have lived in Hyrule since ancient times. Compared to the standard Lynel, those with blue manes much tougher and equipped with much stronger weapons. Facing off against a Lynel is ill-advised, but if you must, be sure you're well prepared.","Hyrule Field,Deep Akkala","Lynel Horn,Lynel Hoof,Lynel Guts"
123,https://www.zeldadungeon.net/wiki/images/thumb/3/3d/Hyrule-Compendium-White-Maned-Lynel.png/72px-Hyrule-Compendium-White-Maned-Lynel.png,White-Maned Lynel,These fearsome monsters have lived in Hyrule since ancient times. Their ability to breathe fire makes White-Maned Lynels among the toughest of the species; each one of their attacks is an invitation to the grave. There are so few eyewitness accounts of this breed because a White-Maned Lynel is not one to let even simple passersby escape with their lives.,"Hyrule Field,Hebra Mountains","Lynel Horn,Lynel Hoof,Lynel Guts"
124,https://www.zeldadungeon.net/wiki/images/thumb/9/90/Hyrule-Compendium-Silver-Lynel.png/72px-Hyrule-Compendium-Silver-Lynel.png,Silver Lynel,"Silver Lynels are not to be trifled with. They have been influenced by Ganon's fiendish magic, so they are the strongest among the Lynel species, surpassing even the strength of those with white manes. The term ""silver"" denotes not only their color but also their rarity. The purple stripes help them to stand out even more.",Unknown,"Lynel Horn,Lynel Hoof,Lynel Guts,Topaz,Ruby,Sapphire,Diamond,Star Fragment"
125,https://www.zeldadungeon.net/wiki/images/thumb/5/5e/Hyrule-Compendium-Guardian-Stalker.png/72px-Hyrule-Compendium-Guardian-Stalker.png,Guardian Stalker,"The Sheikah of ancient Hyrule developed this as a weapon to combat Ganon. Its six legs give it extraordinary mobility compared to most current vehicles, and its powerful laser provides far greater offensive capability than conventional weaponry. Destroying the legs severely reduces its mobility.",Hyrule Field,"Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft,Ancient Core,Giant Ancient Core"
126,https://www.zeldadungeon.net/wiki/images/thumb/0/07/Hyrule-Compendium-Guardian-Skywatcher.png/72px-Hyrule-Compendium-Guardian-Skywatcher.png,Guardian Skywatcher,"The Sheikah of ancient Hyrule developed this as a weapon to combat Ganon. This flying model is an improvement over the walking type, capable of either attacking or surveying from the air. Destroying the propeller will ground it.","Hyrule Field,Akkala Highlands","Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft,Ancient Core,Giant Ancient Core"
127,https://www.zeldadungeon.net/wiki/images/thumb/7/76/Hyrule-Compendium-Guardian-Turret.png/72px-Hyrule-Compendium-Guardian-Turret.png,Guardian Turret,"The Sheikah of ancient Hyrule developed this as a weapon to combat Ganon. This stationary model was used for defending important structures. Its offensive power is on par with other Guardians, and omitting the legs kept the manufacturing costs low.",Hyrule Castle,"Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft,Ancient Core,Giant Ancient Core"
128,https://www.zeldadungeon.net/wiki/images/thumb/e/e9/Hyrule-Compendium-Sentry.png/72px-Hyrule-Compendium-Sentry.png,Sentry,These sentries dispatched from Divine Beast Vah Rudania are equipped with searchlights that can spot intruders.,Death Mountain,"Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft,Ancient Core"
129,https://www.zeldadungeon.net/wiki/images/thumb/2/20/Hyrule-Compendium-Decayed-Guardian.png/72px-Hyrule-Compendium-Decayed-Guardian.png,Decayed Guardian,"The Sheikah of ancient Hyrule developed this as a weapon to combat Ganon, but it was destroyed during the Great Calamity. Ages of weather and neglect have left it in a state of disrepair. Approach with caution; some of the derelict models have been known to awaken from stasis and attack when approached.","Hyrule Field,Hyrule Castle","Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft"
130,https://www.zeldadungeon.net/wiki/images/thumb/0/02/Hyrule-Compendium-Guardian-Scout-I.png/72px-Hyrule-Compendium-Guardian-Scout-I.png,Guardian Scout I,"Guardians were originally designed by an ancient civilization to combat Ganon, but these smaller models were placed inside shrines as part of the trials found within. The multiple legs and beam functionality were scaled down but kept mostly intact.",Unknown,"Ancient Screw,Ancient Spring"
131,https://www.zeldadungeon.net/wiki/images/thumb/6/62/Hyrule-Compendium-Guardian-Scout-II.png/72px-Hyrule-Compendium-Guardian-Scout-II.png,Guardian Scout II,"Although originally designed by an ancient civilization to combat Ganon, these scaled-down Guardians were placed inside shrines as part of the trials. In additional to the beam functionality, this particular model was designed to handle weaponry as a means of further testing the combat prowess of one undertaking the trials. It takes some serious skill to go toe-to-toe with one of these.",Unknown,"Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft"
132,https://www.zeldadungeon.net/wiki/images/thumb/e/e9/Hyrule-Compendium-Guardian-Scout-III.png/72px-Hyrule-Compendium-Guardian-Scout-III.png,Guardian Scout III,"Although originally designed by an ancient civilisation to combat Ganon, these scaled-down Guardians were placed inside shrines as part or the trials. This model is equipped with twin-blade functionality to further test the combat prowess of one undertaking the trials. It takes a nimble fighter to overcome this one.",Unknown,"Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft,Ancient Core"
133,https://www.zeldadungeon.net/wiki/images/thumb/1/1c/Hyrule-Compendium-Guardian-Scout-IV.png/72px-Hyrule-Compendium-Guardian-Scout-IV.png,Guardian Scout IV,"An ancient civilization originally designed Guardians to combat Ganon but then scaled them down to place in shrines as part of the trials. This model is very resilient and has been outfitted with triple-blade functionality, allowing it to wield three weapons. This will put any would-be hero to the test for sure. A great deal of strength and confidence alike are required to contend with one of these.",Unknown,"Ancient Screw,Ancient Spring,Ancient Gear,Ancient Shaft,Ancient Core"
134,https://www.zeldadungeon.net/wiki/images/thumb/9/9d/Yiga-footsoldier.jpg/72px-Yiga-footsoldier.jpg,Yiga Footsoldier,"The lowest-ranked members of the Yiga Clan. They've been dispatched all across Hyrule with a single task: seek out Link and end his life. They're a crafty bunch, sometimes disguising themselves as simple travelers or villagers to get the jump on you. Be wary of suspicious people you encounter. They're very agile and carry a bow and one-handed sword.",Unknown,"GreenRupee, BlueRupee, RedRupee, PurpleRupee,Mighty Bananas"
135,https://www.zeldadungeon.net/wiki/images/thumb/8/80/Yiga-blademaster.jpg/72px-Yiga-blademaster.jpg,Yiga Blademaster,"These are the elite soldiers of the Yiga Clan. They favor the windcleaver blade and are extremely agile despite their bulky build. At this Yiga Clan rank, they have mastered a technique that allows them to manipulate the very earth. By striking the ground, they can create stone pillars and blasts of air.",Unknown,"Amber,Opal,Topaz,Ruby,Sapphire,Mighty Bananas"
136,https://www.zeldadungeon.net/wiki/images/thumb/b/b3/Master-kohga.jpg/72px-Master-kohga.jpg,Master Kohga,"The leader of the Yiga Clan, a group formed with just a single objective: eliminate Link. He sends his minions all over Hyrule in search of you but tends to spend most of his time napping and generally loafing about. Despite this, his mastery of the esoteric arts has earned him a deep respect. Even if he were to die, his followers would never give up on their one and only task.",Yiga Clan Hideout,None
137,https://www.zeldadungeon.net/wiki/images/thumb/1/16/Monk-maz-koshia.jpg/72px-Monk-maz-koshia.jpg,Monk Maz Koshia,"The arbiter of worthiness for the hero who wishes to control a Divine Beast, following a revelation from the Goddess Hylia. As the last part of the final trial, the monk offers a challenge of ancient techniques.",Unknown,None
138,https://www.zeldadungeon.net/wiki/images/thumb/2/28/Stone-talus.jpeg/72px-Stone-talus.jpeg,Stone Talus,"This enormous monster is naturally camouflaged as a rock formation. Neither sword nor arrow can pierce its stony form, but a cunning adventurer knows to scale its body and attack the ore sprouting from its peak.","West Necluda,East Necluda","Flint,Amber,Opal,Ruby"
139,https://www.zeldadungeon.net/wiki/images/thumb/1/19/Stone-talus-luminous.jpg/72px-Stone-talus-luminous.jpg,Stone Talus (Luminous),"This enormous monster is naturally camouflaged as a rock formation. Neither sword nor arrow can pierce its stony form, but a cunning adventurer knows to scale its body and attack the ore sprouting from its peak. Unlike your average Stone Talus, this type's ore deposit consists mostly of luminous stone.","Gerudo Highlands,Hyrule Field","Flint,Amber,Opal,Luminous Stone,Topaz,Diamond"
140,https://www.zeldadungeon.net/wiki/images/thumb/9/9d/Stone-talus-rare.jpg/72px-Stone-talus-rare.jpg,Stone Talus (Rare),"This enormous monster is naturally camouflaged as a rock formation. Neither stone nor arrow can pierce its stony form, but a cunning adventurer knows to scale its body and attack the ore sprouting from its peak. Unlike your average Stone Talus, this type's ore deposit contains a large amount of precious ore.","Hyrule Field,Tabantha Frontier","Flint,Amber,Opal,Topaz,Ruby,Sapphire,Diamond"
141,https://www.zeldadungeon.net/wiki/images/thumb/d/d5/Igneo-talus.jpg/72px-Igneo-talus.jpg,Igneo Talus,"This enormous monster is naturally camouflaged as molten rock. Neither sword nor arrow can pierce its fiery form. Merely touching its magma-hot body can burn you pretty badly, but you may be able to scale it if you can use something to chill its flames.",Eldin Canyon,"Flint,Opal,Ruby,Diamond"
142,https://www.zeldadungeon.net/wiki/images/thumb/7/7a/Frost-talus.jpg/72px-Frost-talus.jpg,Frost Talus,"This enormous monster is naturally camouflaged as a frozen rock formation. Neither sword nor arrow can pierce its frigid form. Merely touching its frosty body can leave you with severe frostbite, but you may be able to scale it if you use something to thaw its icy exterior.","Hebra Mountains,Gerudo Highlands","Flint,Opal,Sapphire,Diamond"
143,https://www.zeldadungeon.net/wiki/images/thumb/3/34/Stone-pebblit.jpg/72px-Stone-pebblit.jpg,Stone Pebblit,"A very young Stone Talus. Their bodies toughen as they mature, becoming as tough as boulders by adulthood. As a child, however, their bodies are light enough to be lifted and fragile enough to break when thrown.",GreaterHyrule,"Flint,Amber,Opal"
144,https://www.zeldadungeon.net/wiki/images/thumb/0/02/Igneo-pebblit.jpg/72px-Igneo-pebblit.jpg,Igneo Pebblit,"A very young Igneo Talus. Their bodies toughen as they mature and convert fully into lava by adulthood. As a child, however, while still covered in fire, their bodies are fragile and light enough to be blown away by a bomb's blast.","Eldin Canyon,Eldin Mountains","Flint,Amber,Ruby"
145,https://www.zeldadungeon.net/wiki/images/thumb/9/9f/Frost-pebblit.jpg/72px-Frost-pebblit.jpg,Frost Pebblit,"A very young Frost Talus. Their bodies toughen and frost over as they mature, becoming entirely made of ice by adulthood. As a child, however, their bodies are awfully fragile and are light enough to be blown away by a bomb's blast.","Hebra Mountains,Gerudo Highlands","Flint,Amber,Sapphire"
146,https://www.zeldadungeon.net/wiki/images/thumb/a/aa/Igneo-talus-titan.jpg/72px-Igneo-talus-titan.jpg,Igneo Talus Titan,"This monster is an Igneo Talus subspecies that is camouflaged as molten rock. It lives in lava for many years before emerging at an enormous size. It is wildly powerful and emits a tremendous amount of heat, causing a constant updraft in its vicinity. This monster is so fearsome it has earned the title of Titan.",Unknown,None
147,https://www.zeldadungeon.net/wiki/images/thumb/a/ac/Hinox-botw.jpg/72px-Hinox-botw.jpg,Hinox,"The largest monster to make its home in Hyrule, the Hinox lives primarily in forested areas. A keen awareness of your surroundings is paramount when facing one, as Hinox are known for tearing entire trees from the ground and using them as weapons. A deft hand can steal weapons off the necklaces they wear.","East Necluda,West Necluda","Hinox Toenail,Hinox Tooth,Hinox Guts,Apple,Wildberry,Palm Fruit,Voltfruit,Mighty Bananas,Fortified Pumpkin,Hearty Durian"
148,https://www.zeldadungeon.net/wiki/images/thumb/f/fe/Blue-hinox.jpg/72px-Blue-hinox.jpg,Blue Hinox,"The largest monster to make its home in Hyrule, the Hinox lives primarily in forested areas. A keen awareness of your surroundings is paramount when facing one, as Hinox are known for tearing entire trees from the ground and using them as weapons. Blue Hinox wear greaves that can be burnt away to expose their feet. A deft hand can steal weapons off the necklaces they wear.","Hyrule Field,Lanayru Great Spring","Hinox Toenail,Hinox Tooth,Hinox Guts,Roasted Bass,Roasted Hearty Bass,Roasted Hearty Salmon,Roasted Trout,Roasted Carp,Roasted Porgy,Sneaky River Escargot,Blueshell Escargot,Blackened Crab"
