#,Image,Name,Description,Common Locations,Recoverable Materials
018,https://www.zeldadungeon.net/wiki/images/thumb/2/2b/Hyrule-Compendium-Highland-Sheep.png/72px-Hyrule-Compendium-Highland-Sheep.png,Highland Sheep,"Originally native to the mountainous regions, these sheep were domesticated for their wool and have since found a home in villages. Once the fluffy wool grows out, it's harvested and used to make clothing and bedding. They're calm, timid creatures and move about in small herds.","East Necluda,Akkala Highlands",None
019,https://www.zeldadungeon.net/wiki/images/thumb/3/36/Hyrule-Compendium-Grassland-Fox.png/72px-Hyrule-Compendium-Grassland-Fox.png,Grassland Fox,"This breed of fox is common to grasslands and forests and is hallmarked by its fluffy, white-tipped tail. Unlike other foxes, they tend to act independently rather than form packs. Being omnivores, they hunt animals smaller than themselves and often stick to eating fruit and insects.","Hyrule Field,Lanayru Great Spring",Raw Meat
020,https://www.zeldadungeon.net/wiki/images/thumb/8/8e/Hyrule-Compendium-Snowcoat-Fox.png/72px-Hyrule-Compendium-Snowcoat-Fox.png,Snowcoat Fox,"This particular breed of grassland fox makes its home in cold climates such as the Tabantha region. Its fur turned white as a means of adapting to snowy weather, serving as natural camouflage. Because of this, spotting one in the snow takes a keen eye.","Hebra Mountains,Tabantha Frontier","Raw Prime Meat,Raw Gourmet Meat"
021,https://www.zeldadungeon.net/wiki/images/thumb/7/7c/Hyrule-Compendium-Maraudo-Wolf.png/72px-Hyrule-Compendium-Maraudo-Wolf.png,Maraudo Wolf,"These wolves are not only carnivorous but can also be downright fierce. They're highly aggressive and aren't afraid to attack people. They hunt in groups and surround their prey as a means of bringing it down. That said, if one of their own is injured, the rest are wise enough to run away. They communicate via howls, so if you're wandering the forest and hear their call, you had best take care.","Tabantha Frontier,Great Hyrule Forest","Raw Prime Meat,Raw Gourmet Meat"
022,https://www.zeldadungeon.net/wiki/images/thumb/2/2f/Hyrule-Compendium-Wasteland-Coyote.png/72px-Hyrule-Compendium-Wasteland-Coyote.png,Wasteland Coyote,"This contentious beast is native to the Gerudo region. It makes its home in the desert, so it doesn't have a problem with hot, arid climates. They do hunt other beasts and small animals but more often turn their sights on people. They're a threat to anyone traveling through the desert.","Gerudo Desert,Gerudo Highlands","Raw Prime Meat,Raw Gourmet Meat"
023,https://www.zeldadungeon.net/wiki/images/thumb/5/5d/Hyrule-Compendium-Cold-Footed-Wolf.png/72px-Hyrule-Compendium-Cold-Footed-Wolf.png,Cold-Footed Wolf,"This breed of maraudo wolf lives in snowy, mountainous areas, such as the Hebra Mountains. They travel in packs similar to their maraudo relatives but are considerably tougher thanks to having adapted to their harsh environment. They're made even more dangerous by their white fur, which provides a natural camouflage in the snow.","Hebra Mountains,Gerudo Highlands","Raw Prime Meat,Raw Gourmet Meat"
024,https://www.zeldadungeon.net/wiki/images/thumb/3/37/Hyrule-Compendium-Tabantha-Moose.png/72px-Hyrule-Compendium-Tabantha-Moose.png,Tabantha Moose,"The largest breed of deer in Hyrule, this mammal's origin was traced back to the Tabantha region. It's easily distinguished by its immense antlers, which these moose shed and regrow yearly. Their meat is tender and high quality, so it works well in a stew.","Hebra Mountains,Gerudo Highlands","Raw Prime Meat,Raw Gourmet Meat"
025,https://www.zeldadungeon.net/wiki/images/thumb/1/10/Hyrule-Compendium-Great-Horned-Rhinoceros.png/72px-Hyrule-Compendium-Great-Horned-Rhinoceros.png,Great-Horned Rhinoceros,"This animal's horn is a whopping half the size of its body. Although originally members of arid-region rhinoceroses, these migrated to colder climates and adapted to live in snowy mountains. Their hides are particularly thick, and their horns can cause some serious damage, so only experienced hunters should track these.","Hebra Mountains,Gerudo Highlands","Raw Prime Meat,Raw Gourmet Meat"
026,https://www.zeldadungeon.net/wiki/images/thumb/5/56/Hyrule-Compendium-Honeyvore-Bear.png/72px-Hyrule-Compendium-Honeyvore-Bear.png,Honeyvore Bear,"This king among animals is dangerous game for even the most seasoned hunters. They'll attack anyone who wanders into their territory regardless of the wanderer's weaponry. As their name implies, they have a natural love of honey. Extreme caution is advised when you spot one, but if you're sneaky enough and maybe just a little bit crazy... you just may be able to ride one.","Tabantha Frontier,Akkala Highlands,Crenel Peak","Raw Prime Meat,Raw Gourmet Meat"
027,https://www.zeldadungeon.net/wiki/images/thumb/6/69/Hyrule-Compendium-Grizzlemaw-Bear.png/72px-Hyrule-Compendium-Grizzlemaw-Bear.png,Grizzlemaw Bear,"This breed of honeyvore bear is distinguished by its gray fur. Even more ferocious than their relatives, they're commonly believed to be the most dangerous wild animal. They live in deep snow away from villages, so it's uncommon to encounter one. That said, if you do find one, you'd be better off not picking a fight with it.","Hebra Mountains,Gerudo Highlands","Raw Prime Meat,Raw Gourmet Meat,Hearty Salmon"
028,https://www.zeldadungeon.net/wiki/images/thumb/1/1f/Hyrule-Compendium-Hylian-Retriever.png/72px-Hyrule-Compendium-Hylian-Retriever.png,Hylian Retriever,"The native breed of this mammal varies by region, but on thing remains true: this animals has been known as ""man's best friend"" since ancient times. They're very clever and obedient, so aside from serving as pets, they are also put to work watching over grazing livestock. It's said that all Hylian retrievers are descendants of the dog once owned by the king of Hyrule.","Akkala Highlands,Hebra Mountains",None
029,https://www.zeldadungeon.net/wiki/images/thumb/a/a4/Hyrule-Compendium-Blupee.png/72px-Hyrule-Compendium-Blupee.png,Blupee,"They may look like mere rabbits at a fleeting glance, but these strange and aptly named creatures glow with a mysterious blue light. While the details of their origins are entirely unknown, there is one thing we do know: these peculiar little things have a penchant for collecting rupees.",Satori Mountain,Unknown
030,https://www.zeldadungeon.net/wiki/images/thumb/3/31/Hyrule-Compendium-Common-Sparrow.png/72px-Hyrule-Compendium-Common-Sparrow.png,Common Sparrow,"As the name suggests, these birds are rather common around Hyrule. They mainly live in the plains or forests but sometimes venture out to villages. Their diet consists of nuts and small insects. They look pretty cute when they jump around, but they don't have much love for people.","Hyrule Field,Hyrule Ridge",Chickaloo Tree Nut
031,https://www.zeldadungeon.net/wiki/images/thumb/8/8c/Hyrule-Compendium-Red-Sparrow.png/72px-Hyrule-Compendium-Red-Sparrow.png,Red Sparrow,These small birds live in the Hebra region and eat mainly nuts and wild plants. Their bright-red feathers are often used as decorations.,"Hebra Mountains,Tabantha Frontier,Rito Stable",Chickaloo Tree Nut
032,https://www.zeldadungeon.net/wiki/images/thumb/0/08/Hyrule-Compendium-Blue-Sparrow.png/72px-Hyrule-Compendium-Blue-Sparrow.png,Blue Sparrow,"This breed of sparrow is most often seen in the Lanayru region. They get most of their food from leaves and plants that grow near water. If it's safe enough, they can be spotted bathing in puddles or shallow rivers.","Lanayru Great Spring,Great Hyrule Forest",Chickaloo Tree Nut
033,https://www.zeldadungeon.net/wiki/images/thumb/3/3c/Hyrule-Compendium-Rainbow-Sparrow.png/72px-Hyrule-Compendium-Rainbow-Sparrow.png,Rainbow Sparrow,"These small birds hail from the Faron region. As the name suggests, their feathers are more colorful than other sparrows', which has made them a favorite among dilettantes. They feed on small rain-forest insects, but the omnivore in them loves nuts as well.","Faron Grasslands,West Necluda,Floria Bridge",Chickaloo Tree Nut
034,https://www.zeldadungeon.net/wiki/images/thumb/2/2a/Hyrule-Compendium-Sand-Sparrow.png/72px-Hyrule-Compendium-Sand-Sparrow.png,Sand Sparrow,"This desert-dwelling breed of sparrow has adapted to withstand the heat in the arid climate of the Gerudo region. Sometimes they can be spotted half-buried in the sand, holding perfectly still as a means of evading predators.",Gerudo Desert,Chickaloo Tree Nut
035,https://www.zeldadungeon.net/wiki/images/thumb/d/d8/Hyrule-Compendium-Golden-Sparrow.png/72px-Hyrule-Compendium-Golden-Sparrow.png,Golden Sparrow,"This breed of sparrow is native to the Eldin region. Their down is resistant to burning, an evolutionary trait produced by the harsh volcanic environment. They subsist on small insects that hide inside rocks.","Great Hyrule Forest,Eldin Canyon",Chickaloo Tree Nut
036,https://www.zeldadungeon.net/wiki/images/thumb/f/f1/Hyrule-Compendium-Wood-Pigeon.png/72px-Hyrule-Compendium-Wood-Pigeon.png,Wood Pigeon,"These pigeons inhabit vast regions all throughout Hyrule, so they can often be found in forests, grasslands, or even villages. They don't have a very strong sense of awareness, so even less-skilled hunters can nab them pretty easily.","Great Hyrule Forest,Hyrule Ridge",Raw Bird Drumstick
037,https://www.zeldadungeon.net/wiki/images/thumb/e/e3/Hyrule-Compendium-Rainbow-Pigeon.png/72px-Hyrule-Compendium-Rainbow-Pigeon.png,Rainbow Pigeon,This breed of pigeon is well known for its vivid feathers. They live mainly in the northern forests and grasslands of Hyrule. They're most fond of nuts and grain but won't pass up the occasional insect or earthworm if offered. Their meat is of a higher quality than typical wood pigeon's.,"Hyrule Ridge,Great Hyrule Forest,Seres Scablands",Raw Bird Thigh
038,https://www.zeldadungeon.net/wiki/images/thumb/b/bb/Hyrule-Compendium-Hotfeather-Pigeon.png/72px-Hyrule-Compendium-Hotfeather-Pigeon.png,Hotfeather Pigeon,"This rare breed of pigeon lives near Death Mountain. Their fireproof feathers are valuable as clothing material. Their meat, on the other hand, is not fireproof, and it'll burn up as soon as it's struck.","Eldin Canyon,Eldin Mountains",Raw Bird Thigh
039,https://www.zeldadungeon.net/wiki/images/thumb/b/bc/Hyrule-Compendium-White-Pigeon.png/72px-Hyrule-Compendium-White-Pigeon.png,White Pigeon,"This white-feathered breed of pigeon lives in the Hebra region. It's said that a wood pigeon survived atop a snowy mountain by changing its colors to blend in with the snow and soon after became a white pigeon. They have an extra layer of fat to guard against the cold, so they have been known to yield high-quality meat.","Hebra Mountains,Gerudo Highlands","Raw Bird Thigh,Raw Whole Bird"
040,https://www.zeldadungeon.net/wiki/images/thumb/f/f7/Hyrule-Compendium-Mountain-Crow.png/72px-Hyrule-Compendium-Mountain-Crow.png,Mountain Crow,"This bird is known for its cleverness and for its distinct claws. They make their homes in the mountains, forests, and villages alike. Not only are their jet-black feathers seen as an ill omen, but they'll steal crops right out of a farmer's hands if given the chance. Because of this, they're often met with enmity.","Hyrule Ridge,Great Hyrule Forest",Raw Bird Drumstick
041,https://www.zeldadungeon.net/wiki/images/thumb/6/65/Hyrule-Compendium-Bright-Chested-Duck.png/72px-Hyrule-Compendium-Bright-Chested-Duck.png,Bright-Chested Duck,"These birds can be found on waterfronts all over Hyrule. Their webbed feet make them excellent swimmers, and their long necks allow them to duck their heads underwater to find food. Their fatty meat is high quality.","Hyrule Ridge,Hyrule Field",Raw Bird Drumstick
042,https://www.zeldadungeon.net/wiki/images/thumb/a/aa/Hyrule-Compendium-Blue-Winged-Heron.png/72px-Hyrule-Compendium-Blue-Winged-Heron.png,Blue-Winged Heron,These birds live on waterfronts all throughout Hyrule. Their characteristically thin legs and long necks help them catch water-dwelling fish or frogs for food. They lie perfectly still in wait for their prey and then stretch out their long necks to capture their meal.,"Hyrule Ridge,Faron Grasslands",Raw Bird Drumstick
043,https://www.zeldadungeon.net/wiki/images/thumb/e/e5/Hyrule-Compendium-Pink-Heron.png/72px-Hyrule-Compendium-Pink-Heron.png,Pink Heron,"This breed of Heron is characterized by the pink tips of its feathers. Unlike its waterfront-dwelling relative the blue-winged heron, these live in grasslands or arid regions and subsist on insects that live in the grass. They can often be found walking about searching for food but will fly away if they sense danger.","Hyrule Ridge,Hyrule Field",Raw Bird Drumstick
044,https://www.zeldadungeon.net/wiki/images/thumb/6/6e/Hyrule-Compendium-Islander-Hawk.png/72px-Hyrule-Compendium-Islander-Hawk.png,Islander Hawk,These carnivorous birds live in plains or highlands. They use their sharp talons and beaks to catch and eat small animals and other birds. They soar calmly through the sky and search for prey from above.,"Hyrule Field,Hyrule Ridge",Raw Bird Thigh
045,https://www.zeldadungeon.net/wiki/images/thumb/5/52/Hyrule-Compendium-Seagull.png/72px-Hyrule-Compendium-Seagull.png,Seagull,"These birds live near the ocean. They eat mainly fish, so a flock of seagulls hovering over water is a good indication of where there are fish. Fisherman use this to their advantage when searching for a catch of their own.","Necluda Sea,Akkala Sea",Raw Bird Drumstick
046,https://www.zeldadungeon.net/wiki/images/thumb/c/ce/Hyrule-Compendium-Eldin-Ostrich.png/72px-Hyrule-Compendium-Eldin-Ostrich.png,Eldin Ostrich,"This large bird makes its home in the volcanic region of Eldin. Their heat-resistant feathers and skin are evolutionary traits produced by the harsh environment. Their wings are too small to facilitate flight, but their long legs make them pretty speedy runners.","Eldin Canyon,Eldin Mountains","Raw Bird Thigh,Raw Whole Bird"
047,https://www.zeldadungeon.net/wiki/images/thumb/8/8f/Hyrule-Compendium-Cucco.png/72px-Hyrule-Compendium-Cucco.png,Cucco,"Villages often raise these birds for their eggs, but some people actually keep them as pets. They can't fly, but can flap their wings mighty furiously if picked up. They're usually calm creatures, but if you're persistent in your torment of them... Well...","West Necluda,East Necluda",Bird Egg
