#,Image,Name,Description,Common Location,Properties
219,https://www.zeldadungeon.net/wiki/images/thumb/5/5d/Hyrule-Compendium-Rusty-Broadsword.png/72px-Hyrule-Compendium-Rusty-Broadsword.png,Rusty Broadsword,This once-fearsome sword has seen better days. It can do some damage in the right hands but also breaks quickly.,"Hyrule Field,Eldin Canyon",6 Attack
220,https://www.zeldadungeon.net/wiki/images/thumb/d/d4/Hyrule-Compendium-Royal-Guards-Sword.png/72px-Hyrule-Compendium-Royal-Guards-Sword.png,Royal Guard's Sword,"A Sheikah-made replica of the sword that seals the darkness. It was made with ancient technology to oppose the Great Calamity, but its low durability made it inefficient.",Unknown,48 Attack
221,https://www.zeldadungeon.net/wiki/images/thumb/8/82/Hyrule-Compendium-Flameblade.png/72px-Hyrule-Compendium-Flameblade.png,Flameblade,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.,"Hyrule Field,East Necluda",24 Attack
222,https://www.zeldadungeon.net/wiki/images/thumb/4/4c/Hyrule-Compendium-Frostblade.png/72px-Hyrule-Compendium-Frostblade.png,Frostblade,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen.","Gerudo Highlands,Hyrule Field",20 Attack
223,https://www.zeldadungeon.net/wiki/images/thumb/0/0f/Hyrule-Compendium-Thunderblade.png/72px-Hyrule-Compendium-Thunderblade.png,Thunderblade,"A magical sword forged and refined by lightning from the Hyrule Hills. When the blade shines with a golden light, it will electrocute enemies struck by it.","Hyrule Field,West Necluda",22 Attack
224,https://www.zeldadungeon.net/wiki/images/thumb/7/7e/Hyrule-Compendium-Boko-Club.png/72px-Hyrule-Compendium-Boko-Club.png,Boko Club,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low.","Hyrule Field,West Necluda",4 Attack
225,https://www.zeldadungeon.net/wiki/images/thumb/3/3e/Hyrule-Compendium-Spiked-Boko-Club.png/72px-Hyrule-Compendium-Spiked-Boko-Club.png,Spiked Boko Club,A reinforced Bokoblin club made to maximize damage. The sharpened bones jabbed into make it a brutal weapon.,"Faron Grasslands,East Necluda",12 Attack
226,https://www.zeldadungeon.net/wiki/images/thumb/5/53/Hyrule-Compendium-Dragonbone-Boko-Club.png/72px-Hyrule-Compendium-Dragonbone-Boko-Club.png,Dragonbone Boko Club,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.,"Hyrule Ridge,Necluda Sea",24 Attack
227,https://www.zeldadungeon.net/wiki/images/thumb/5/59/Hyrule-Compendium-Lizal-Boomerang.png/72px-Hyrule-Compendium-Lizal-Boomerang.png,Lizal Boomerang,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.,"Lake Hylia,Lanayru Wetlands",14 Attack
228,https://www.zeldadungeon.net/wiki/images/thumb/d/d3/Hyrule-Compendium-Lizal-Forked-Boomerang.png/72px-Hyrule-Compendium-Lizal-Forked-Boomerang.png,Lizal Forked Boomerang,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown.","Gerudo Desert,Tabantha Frontier",24 Attack
229,https://www.zeldadungeon.net/wiki/images/thumb/3/3f/Hyrule-Compendium-Lizal-Tri-Boomerang.png/72px-Hyrule-Compendium-Lizal-Tri-Boomerang.png,Lizal Tri-Boomerang,"More blades mean more attack power! It can be used as a boomerang, but all those blades make that a bit more dangerous. Carried by Black Lizalfos seasoned in battle.","Hebra Mountains,Akkala Highlands",36 Attack
230,https://www.zeldadungeon.net/wiki/images/thumb/2/25/Hyrule-Compendium-Guardian-Sword.png/72px-Hyrule-Compendium-Guardian-Sword.png,Guardian Sword,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.,"Eldin Canyon,Tabantha Frontier",20 Attack
231,https://www.zeldadungeon.net/wiki/images/thumb/c/ca/Hyrule-Compendium-Guardian-Sword%2B.png/72px-Hyrule-Compendium-Guardian-Sword%2B.png,Guardian Sword+,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick.","Gerudo Highlands,Akkala Highlands",30 Attack
232,https://www.zeldadungeon.net/wiki/images/thumb/6/62/Hyrule-Compendium-Guardian-Sword%2B%2B.png/72px-Hyrule-Compendium-Guardian-Sword%2B%2B.png,Guardian Sword++,"The abilities of this Guardian sword have been boosted to the maximum., as evidenced by its increase in size. It slices through armor like a hot knife through butter!","Hebra Mountains,Akkala Highlands",40 Attack
233,https://www.zeldadungeon.net/wiki/images/thumb/d/d8/Hyrule-Compendium-Lynel-Sword.png/72px-Hyrule-Compendium-Lynel-Sword.png,Lynel Sword,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong.","Lanayru Great Spring,Hyrule Field",24 Attack
234,https://www.zeldadungeon.net/wiki/images/thumb/0/0e/Hyrule-Compendium-Mighty-Lynel-Sword.png/72px-Hyrule-Compendium-Mighty-Lynel-Sword.png,Mighty Lynel Sword,This Lynel-made sword boasts more blades and more attack power. A skilled Lynel can draw this sword simply in passing and still cut a foe in two.,"Hyrule Field,Lanayru Great Spring",36 Attack
235,https://www.zeldadungeon.net/wiki/images/thumb/a/a5/Hyrule-Compendium-Savage-Lynel-Sword.png/72px-Hyrule-Compendium-Savage-Lynel-Sword.png,Savage Lynel Sword,"A brutal sword carried by white-haired Lynels. The savage blades are strong enough to cut down any foe, no matter how strong.","Hyrule Field,Hebra Mountains",58 Attack
236,https://www.zeldadungeon.net/wiki/images/thumb/7/75/Hyrule-Compendium-Fire-Rod.png/72px-Hyrule-Compendium-Fire-Rod.png,Fire Rod,"A magical rod that can cast fireballs, crafted by an ancient magician. The rod will break if it strikes something directly, so use it wisely.","Hyrule Field,Hebra Mountains",10 Attack
237,https://www.zeldadungeon.net/wiki/images/thumb/e/e0/Hyrule-Compendium-Meteor-Rod.png/72px-Hyrule-Compendium-Meteor-Rod.png,Meteor Rod,"A magical rod that can cast three fireballs at once, crafted by an ancient magician. It will break upon running out of magical energy, so make it last!","Hyrule Field,Hebra Mountains",10 Attack
238,https://www.zeldadungeon.net/wiki/images/thumb/e/e2/Hyrule-Compendium-Ice-Rod.png/72px-Hyrule-Compendium-Ice-Rod.png,Ice Rod,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic - not so great for melee.,"Gerudo Highlands,Eldin Canyon",5 Attack
239,https://www.zeldadungeon.net/wiki/images/thumb/5/5f/Hyrule-Compendium-Blizzard-Rod.png/72px-Hyrule-Compendium-Blizzard-Rod.png,Blizzard Rod,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra peak. It will break when depleted.,"Gerudo Highlands,Hebra Mountains",10 Attack
240,https://www.zeldadungeon.net/wiki/images/thumb/f/f8/Hyrule-Compendium-Lightning-Rod.png/72px-Hyrule-Compendium-Lightning-Rod.png,Lightning Rod,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.,"West Necluda,Hyrule Ridge",5 Attack
241,https://www.zeldadungeon.net/wiki/images/thumb/f/fe/Hyrule-Compendium-Thunderstorm-Rod.png/72px-Hyrule-Compendium-Thunderstorm-Rod.png,Thunderstorm Rod,"A magical rod that can hurl three balls of electricity at once. Its gem contains electricity from the Hyrule Hills, and the rod will break when that electricity runs out.","Hyrule Field,Hyrule Ridge",10 Attack
242,https://www.zeldadungeon.net/wiki/images/thumb/a/ac/Hyrule-Compendium-Vicious-Sickle.png/72px-Hyrule-Compendium-Vicious-Sickle.png,Vicious Sickle,A grim weapon favored by the Yiga. The half-moon shape of the blade allows for the rapid delivery of fatal wounds and serves as a symbol of their terror. Its durability is low.,"Gerudo Highlands,Gerudo Desert",16 Attack
243,https://www.zeldadungeon.net/wiki/images/thumb/d/d2/Hyrule-Compendium-Demon-Carver.png/72px-Hyrule-Compendium-Demon-Carver.png,Demon Carver,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.,Unknown,40 Attack
244,https://www.zeldadungeon.net/wiki/images/thumb/9/9e/Hyrule-Compendium-One-Hit-Obliterator.png/72px-Hyrule-Compendium-One-Hit-Obliterator.png,One-Hit Obliterator,"A weapon that defeats foes with one hit and causes the user to die within one hit. It loses its sheen and power after two consecutive uses, but it will eventually regain both.",Unknown,∞ Attack
245,https://www.zeldadungeon.net/wiki/images/thumb/3/32/Hyrule-Compendium-Bokoblin-Arm.png/72px-Hyrule-Compendium-Bokoblin-Arm.png,Bokoblin Arm,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break.",GreaterHyrule,5 Attack
246,https://www.zeldadungeon.net/wiki/images/thumb/4/42/Hyrule-Compendium-Lizalfos-Arm.png/72px-Hyrule-Compendium-Lizalfos-Arm.png,Lizalfos Arm,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back...",GreaterHyrule,12 Attack
247,https://www.zeldadungeon.net/wiki/images/thumb/f/f9/Hyrule-Compendium-Korok-Leaf.png/72px-Hyrule-Compendium-Korok-Leaf.png,Korok Leaf,"A single swing of this giant, sturdy leaf can create a gust of wind strong enough to blow away light objects. These will sometimes fall off trees as they're chopped down.","Hyrule Field,West Necluda",1 Attack
248,https://www.zeldadungeon.net/wiki/images/thumb/1/19/Hyrule-Compendium-Farming-Hoe.png/72px-Hyrule-Compendium-Farming-Hoe.png,Farming Hoe,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested.","East Necluda,Hyrule Field",16 Attack
249,https://www.zeldadungeon.net/wiki/images/thumb/3/32/Hyrule-Compendium-Boat-Oar.png/72px-Hyrule-Compendium-Boat-Oar.png,Boat Oar,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch.","East Necluda,Necluda Sea",14 Attack
250,https://www.zeldadungeon.net/wiki/images/thumb/9/9c/Hyrule-Compendium-Woodcutters-Axe.png/72px-Hyrule-Compendium-Woodcutters-Axe.png,Woodcutter's Axe,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.","West Necluda,Hyrule Field",3 Attack
251,https://www.zeldadungeon.net/wiki/images/thumb/d/de/Hyrule-Compendium-Double-Axe.png/72px-Hyrule-Compendium-Double-Axe.png,Double Axe,"This double-sided axe was designed with fighting in mind. It's a bit unwieldy, so it requires a well-practiced technique to use efficiently.","West Necluda,Gerudo Highlands",18 Attack
252,https://www.zeldadungeon.net/wiki/images/thumb/3/36/Hyrule-Compendium-Iron-Sledgehammer.png/72px-Hyrule-Compendium-Iron-Sledgehammer.png,Iron Sledgehammer,"This large iron sledgehammer was originally used for mining, but it works reasonably well as a weapon too.","Eldin Canyon,Akkala Highlands",12 Attack
253,https://www.zeldadungeon.net/wiki/images/thumb/e/e4/Hyrule-Compendium-Giant-Boomerang.png/72px-Hyrule-Compendium-Giant-Boomerang.png,Giant Boomerang,"This massive boomerang requires two hands. Originally used for hunting, it was modified for use as a weapon. The blades on the inner curves make it a bit trick to wield.","West Necluda,Hebra Mountains",25 Attack
254,https://www.zeldadungeon.net/wiki/images/thumb/e/e8/Hyrule-Compendium-Travelers-Claymore.png/72px-Hyrule-Compendium-Travelers-Claymore.png,Traveler's Claymore,A basic two-handed sword often wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.,"Hyrule Field,West Necluda",10 Attack
255,https://www.zeldadungeon.net/wiki/images/thumb/7/74/Hyrule-Compendium-Soldiers-Claymore.png/72px-Hyrule-Compendium-Soldiers-Claymore.png,Soldier's Claymore,A two-handed sword designed for combat. It's heavy and hard to use but has decent build quality and durability.,"Hyrule Field,Faron Grasslands",20 Attack
256,https://www.zeldadungeon.net/wiki/images/thumb/6/6c/Hyrule-Compendium-Knights-Claymore.png/72px-Hyrule-Compendium-Knights-Claymore.png,Knight's Claymore,Only the most confident of Hyrule Castle's knights carried this two-handed sword. Its cutting edge is finely honed.,"Gerudo Desert,Tabantha Frontier",38 Attack
257,https://www.zeldadungeon.net/wiki/images/thumb/6/6b/Hyrule-Compendium-Royal-Claymore.png/72px-Hyrule-Compendium-Royal-Claymore.png,Royal Claymore,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Its powerful strikes are said to crush an opponent's body and resolve alike.,"Tabantha Frontier,Gerudo Desert",52 Attack
258,https://www.zeldadungeon.net/wiki/images/thumb/f/f7/Hyrule-Compendium-Silver-Longsword.png/72px-Hyrule-Compendium-Silver-Longsword.png,Silver Longsword,"Although the Zora prefer spears to swords, they made this two-handed weapon using a special metal. It found popularity among Hylians for its unique design.","Lanayru Great Spring,Lanayru Wetlands",22 Attack
259,https://www.zeldadungeon.net/wiki/images/thumb/f/fc/Hyrule-Compendium-Cobble-Crusher.png/72px-Hyrule-Compendium-Cobble-Crusher.png,Cobble Crusher,"A Goron-made two-handed weapon. It's made from thick, hard metal and has no cutting edge, so it relies on its sheer weight to crush all opponents.","Eldin Canyon,Eldin Mountains",15 Attack
260,https://www.zeldadungeon.net/wiki/images/thumb/8/83/Hyrule-Compendium-Stone-Smasher.png/72px-Hyrule-Compendium-Stone-Smasher.png,Stone Smasher,"A two-handed weapon forged from a rare metal mined in Goron City. Its center of gravity is at its tip, so it uses centrifugal force and its sheer weight to smash opponents flat.","Eldin Canyon,Hyrule Field",42 Attack
261,https://www.zeldadungeon.net/wiki/images/thumb/2/2d/Hyrule-Compendium-Boulder-Breaker.png/72px-Hyrule-Compendium-Boulder-Breaker.png,Boulder Breaker,"This two-handed weapon was once wielded by the Goron Champion Daruk. Daruk made swinging it around look easy, but a Hylian would need and immense amount of strength.",Eldin Canyon,60 Attack
262,https://www.zeldadungeon.net/wiki/images/thumb/8/83/Hyrule-Compendium-Golden-Claymore.png/72px-Hyrule-Compendium-Golden-Claymore.png,Golden Claymore,Only the most talented Gerudo sword fighters carry this two-handed sword. It's actually much lighter than it appears and is surprisingly easy to wield.,"Gerudo Highlands,Hyrule Ridge",28 Attack
263,https://www.zeldadungeon.net/wiki/images/thumb/2/2b/Hyrule-Compendium-Eightfold-Longblade.png/72px-Hyrule-Compendium-Eightfold-Longblade.png,Eightfold Longblade,A single-edged sword seldom seen in Hyrule. This weapon is passed down through the Sheikah tribe and has an astonishingly shape edge ideal for slicing.,"West Necluda,Lanayru Great Spring",32 Attack
264,https://www.zeldadungeon.net/wiki/images/thumb/e/e3/Hyrule-Compendium-Edge-of-Duality.png/72px-Hyrule-Compendium-Edge-of-Duality.png,Edge of Duality,A curious double-edged sword crafted using Sheikah technology. It was originally made for Hyrulean knights unfamiliar with single-edged blades.,"Hyrule Field,West Necluda",50 Attack
265,https://www.zeldadungeon.net/wiki/images/thumb/4/4c/Hyrule-Compendium-Ancient-Bladesaw.png/72px-Hyrule-Compendium-Ancient-Bladesaw.png,Ancient Bladesaw,This two-handed sword was forged using ancient Sheikah technology. Its unique rotating blades give it impressive cutting power that will slice enemies to shreds.,Unknown,55 Attack
266,https://www.zeldadungeon.net/wiki/images/thumb/1/16/Hyrule-Compendium-Rusty-Claymore.png/72px-Hyrule-Compendium-Rusty-Claymore.png,Rusty Claymore,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes.","Hyrule Field,Eldin Canyon",12 Attack
267,https://www.zeldadungeon.net/wiki/images/thumb/2/22/Hyrule-Compendium-Royal-Guards-Claymore.png/72px-Hyrule-Compendium-Royal-Guards-Claymore.png,Royal Guard's Claymore,"The Sheikah used the very essence of ancient technology to forge this greatsword. It was designed to oppose the Calamity, but its low durability made it impractical in battle.",Unknown,72 Attack
268,https://www.zeldadungeon.net/wiki/images/thumb/5/57/Hyrule-Compendium-Great-Flameblade.png/72px-Hyrule-Compendium-Great-Flameblade.png,Great Flameblade,This magic-infused greatsword was forged in the fires of Death Mountain by Goron smiths in an ancient age. Attack when the blade glows red to expel flames.,"Hyrule Field,Eldin Canyon",34 Attack
269,https://www.zeldadungeon.net/wiki/images/thumb/d/d9/Hyrule-Compendium-Great-Frostblade.png/72px-Hyrule-Compendium-Great-Frostblade.png,Great Frostblade,This magic infused greatsword was forged by smelting ore found in the Hebra Mountains' permafrost. Attack when the blade glows blue to expel freezing air.,"Hebra Mountains,Hyrule Field",30 Attack
270,https://www.zeldadungeon.net/wiki/images/thumb/b/bb/Hyrule-Compendium-Great-Thunderblade.png/72px-Hyrule-Compendium-Great-Thunderblade.png,Great Thunderblade,This magic-infused greatsword was forged by the Hyrulean royal family using lightning from the Hyrule Hills. Attack when the blade glows golden to expel lightning.,"Hyrule Field,Tabantha Frontier",32 Attack
271,https://www.zeldadungeon.net/wiki/images/thumb/a/a2/Hyrule-Compendium-Boko-Bat.png/72px-Hyrule-Compendium-Boko-Bat.png,Boko Bat,A clunky club made by a Bokoblin. If you swing it at an enemy's shield it may be able to knock the shield out of your foe's hand.,"Hyrule Field,West Necluda",6 Attack
272,https://www.zeldadungeon.net/wiki/images/thumb/e/e1/Hyrule-Compendium-Spiked-Boko-Bat.png/72px-Hyrule-Compendium-Spiked-Boko-Bat.png,Spiked Boko Bat,"After much consideration by Bokoblins on how to improve the Boko bat, they simply attached sharp spikes to it. A skilled fighter can cause immense damage with this.","Faron Grasslands,East Necluda",18 Attack
273,https://www.zeldadungeon.net/wiki/images/thumb/1/1d/Hyrule-Compendium-Dragonbone-Boko-Bat.png/72px-Hyrule-Compendium-Dragonbone-Boko-Bat.png,Dragonbone Boko Bat,"Used only by the toughest Bokoblin warriors, this Boko bat has been fortified by fossilized bone. It boasts a high durability and is strong enough to beat down powerful foes.","Hyrule Ridge,Necluda Sea",36 Attack
274,https://www.zeldadungeon.net/wiki/images/thumb/2/27/Hyrule-Compendium-Moblin-Club.png/72px-Hyrule-Compendium-Moblin-Club.png,Moblin Club,"A crudely fashioned club favored by Moblins. It's carved from a sturdy tree but is sloppily made, so it breaks easily.","Gerudo Highlands,Faron Grasslands",9 Attack
275,https://www.zeldadungeon.net/wiki/images/thumb/f/f3/Hyrule-Compendium-Spiked-Moblin-Club.png/72px-Hyrule-Compendium-Spiked-Moblin-Club.png,Spiked Moblin Club,Animal bone has been affixed to this Moblin club to greatly improve its damage.,"Hyrule Field,Akkala Highlands",27 Attack
276,https://www.zeldadungeon.net/wiki/images/thumb/9/93/Hyrule-Compendium-Dragonbone-Moblin-Club.png/72px-Hyrule-Compendium-Dragonbone-Moblin-Club.png,Dragonbone Moblin Club,"The bone of an ancient beast has been affixed to this Moblin club, further increasing its damage. Moblins carrying these in battle are particularly dangerous.","Hebra Mountains,Eldin Mountains",45 Attack
277,https://www.zeldadungeon.net/wiki/images/thumb/2/2c/Hyrule-Compendium-Ancient-Battle-Axe.png/72px-Hyrule-Compendium-Ancient-Battle-Axe.png,Ancient Battle Axe,"A weapon used by Guardian Scouts. Its unique blade was forged using ancient technology. Although powerful, its unusual shape causes it to break easily.","Gerudo Desert,Hyrule Field",30 Attack
278,https://www.zeldadungeon.net/wiki/images/thumb/b/b0/Hyrule-Compendium-Ancient-Battle-Axe%2B.png/72px-Hyrule-Compendium-Ancient-Battle-Axe%2B.png,Ancient Battle Axe+,"This ancient battle axe's damage output has been increased to maximum. It's sharp enough to cut through almost anything, so it may have been used to forge new routes.","Akkala Highlands,Hyrule Field",45 Attack
279,https://www.zeldadungeon.net/wiki/images/thumb/0/0f/Hyrule-Compendium-Ancient-Battle-Axe%2B%2B.png/72px-Hyrule-Compendium-Ancient-Battle-Axe%2B%2B.png,Ancient Battle Axe++,This ancient battle axe's damage output is scaled up to peak performance. Ancient technology makes it possible to enhance cutting power beyond metal weapons' limits.,"Hebra Mountains,Gerudo Highlands",60 Attack
280,https://www.zeldadungeon.net/wiki/images/thumb/3/33/Hyrule-Compendium-Lynel-Crusher.png/72px-Hyrule-Compendium-Lynel-Crusher.png,Lynel Crusher,"This Lynel-made two-handed weapon has been reinforced to increase its durability and striking power. Its overwhelming heft will crush your foe, shield and all.","Gerudo Highlands,Tabantha Frontier",36 Attack
281,https://www.zeldadungeon.net/wiki/images/thumb/8/83/Hyrule-Compendium-Mighty-Lynel-Crusher.png/72px-Hyrule-Compendium-Mighty-Lynel-Crusher.png,Mighty Lynel Crusher,"This Lynel-made two-handed weapon has been reinforced to increase its durability and striking power. Its overwhelming heft will crush your foe, shield and all.","Gerudo Highlands,Hebra Mountains",54 Attack
282,https://www.zeldadungeon.net/wiki/images/thumb/b/bf/Hyrule-Compendium-Savage-Lynel-Crusher.png/72px-Hyrule-Compendium-Savage-Lynel-Crusher.png,Savage Lynel Crusher,This Lynel-made two-handed weapon is immensely heavy thank to a rare metal from Death Mountain's peak. The power of its downward swing is in a class all of its own.,"Hebra Mountains,Eldin Mountains",78 Attack
283,https://www.zeldadungeon.net/wiki/images/thumb/4/47/Hyrule-Compendium-Windcleaver.png/72px-Hyrule-Compendium-Windcleaver.png,Windcleaver,"This sword is favored by high-ranking members of the Yiga. When wielded by a proficient fighter, its unique shape cleaves the very wind and creates a vacuum.","Gerudo Highlands,West Necluda",40 Attack
284,https://www.zeldadungeon.net/wiki/images/thumb/5/54/Hyrule-Compendium-Moblin-Arm.png/72px-Hyrule-Compendium-Moblin-Arm.png,Moblin Arm,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.,GreaterHyrule,15 Attack
285,https://www.zeldadungeon.net/wiki/images/thumb/5/5a/Hyrule-Compendium-Wooden-Mop.png/72px-Hyrule-Compendium-Wooden-Mop.png,Wooden Mop,"Just a mop to the untrained eye, it excels at tidying up the place. But it owes its sturdy construction to a true craftsman, so it actually has some combat merit.","East Necluda,Hyrule Field",5 Attack
