#,Image,Name,Description,Common Locations,Hearts Recovered,Cooking Effects
175,https://www.zeldadungeon.net/wiki/images/thumb/d/d7/Hyrule-Compendium-Endura-Shroom.png/72px-Hyrule-Compendium-Endura-Shroom.png,Endura Shroom,A rare yellowish-orange mushroom. Cook it before eating to temporarily increase your stamina limit.,"Hyrule Ridge,Hyrule Field",1 heart,Extra Stamina
176,https://www.zeldadungeon.net/wiki/images/thumb/d/d6/Hyrule-Compendium-Stamella-Shroom.png/72px-Hyrule-Compendium-Stamella-Shroom.png,Stamella Shroom,A green mushroom that grows near trees in the forest. It's chock-full of natural energy. Cook it to release its stamina-restoration properties.,"Hyrule Ridge,Hyrule Field",½ heart,Stamina Recovery
177,https://www.zeldadungeon.net/wiki/images/thumb/0/07/Hyrule-Compendium-Hearty-Truffle.png/72px-Hyrule-Compendium-Hearty-Truffle.png,Hearty Truffle,This rare mushroom has a rich scent. Cook it before eating to temporarily increase your maximum hearts.,"Great Hyrule Forest,Hyrule Field",2 hearts,Extra Hearts
178,https://www.zeldadungeon.net/wiki/images/thumb/c/c8/Hyrule-Compendium-Big-Hearty-Truffle.png/72px-Hyrule-Compendium-Big-Hearty-Truffle.png,Big Hearty Truffle,"Years of going unpicked have allowed this hearty truffle to grow quite large. It's chock- full of nutrients. When cooked into a dish, it temporarily increases your maximum hearts.","Hebra Mountains,Great Hyrule Forest",3 hearts,Extra Hearts
179,https://www.zeldadungeon.net/wiki/images/thumb/5/59/Hyrule-Compendium-Chillshroom.png/72px-Hyrule-Compendium-Chillshroom.png,Chillshroom,"Often found at the base of pine trees in cold climates, these mushrooms are cool to the touch and can be used to cook dishes that allow you to stay cool even in arid regions.","Hebra Mountains,Mount Lanayru",½ heart,Heat Resistance
180,https://www.zeldadungeon.net/wiki/images/thumb/c/c9/Hyrule-Compendium-Sunshroom.png/72px-Hyrule-Compendium-Sunshroom.png,Sunshroom,"A bright red mushroom that grows in hot climates. Imbued with the power of heat, they can be used to cook dishes that will allow you endure the bitter cold.","Eldin Canyon,Gerudo Highlands",½ heart,Cold Resistance
181,https://www.zeldadungeon.net/wiki/images/thumb/7/7d/Hyrule-Compendium-Zapshroom.png/72px-Hyrule-Compendium-Zapshroom.png,Zapshroom,"This mushroom grows wild in the Gerudo region. The cap is naturally insulated, so when used in cooking, it will offer protection against electricity.","Deep Akkala,Gerudo Highlands",½ heart,Shock Resistance
182,https://www.zeldadungeon.net/wiki/images/thumb/d/d2/Hyrule-Compendium-Rushroom.png/72px-Hyrule-Compendium-Rushroom.png,Rushroom,A mushroom that can grow almost anywhere but prefers ceilings and sheer cliffs. Cook it before eating to temporarily increase your movement speed.,"Gerudo Highlands,Hyrule Ridge",½ heart,Speed Up
183,https://www.zeldadungeon.net/wiki/images/thumb/3/3c/Hyrule-Compendium-Razorshroom.png/72px-Hyrule-Compendium-Razorshroom.png,Razorshroom,This mushroom is known for the natural slice in its cap. Eating it fosters your competitive spirit. Use it when cooking to prepare a dish that will increase your strength.,"Great Hyrule Forest,Tabantha Frontier",½ heart,Attack Up
184,https://www.zeldadungeon.net/wiki/images/thumb/4/44/Hyrule-Compendium-Ironshroom.png/72px-Hyrule-Compendium-Ironshroom.png,Ironshroom,The cap of this mushroom is very hard. Use it when cooking to prepare a dish that increases you defense.,"West Necluda,East Necluda",½ heart,Defense Up
185,https://www.zeldadungeon.net/wiki/images/thumb/b/bb/Hyrule-Compendium-Silent-Shroom.png/72px-Hyrule-Compendium-Silent-Shroom.png,Silent Shroom,"A strange mushroom that glows softly in the forest at night. Cooking it into a dish unlocks the nutrients in its cap, resulting in a meal that will allow you to move stealthily.","Lanayru Great Spring,West Necluda",½ heart,Stealth Up
186,https://www.zeldadungeon.net/wiki/images/thumb/8/89/Hyrule-Compendium-Hyrule-Herb.png/72px-Hyrule-Compendium-Hyrule-Herb.png,Hyrule Herb,This healthy herb grows abundantly in the plains of Hyrule. Cook it before eating to increase the number of hearts it restores.,"Hyrule Field,Akkala Highlands",1 heart,None
187,https://www.zeldadungeon.net/wiki/images/thumb/8/80/Hyrule-Compendium-Hearty-Radish.png/72px-Hyrule-Compendium-Hearty-Radish.png,Hearty Radish,A rare radish that grows best in sunny plains. Cook it before eating to temporarily increase your maximum hearts.,"Hyrule Ridge,East Necluda",2½ hearts,Extra Hearts
188,https://www.zeldadungeon.net/wiki/images/thumb/1/1e/Hyrule-Compendium-Big-Hearty-Radish.png/72px-Hyrule-Compendium-Big-Hearty-Radish.png,Big Hearty Radish,"This hearty radish has grown much larger than the average radish. It's rich in analeptic compounds that, when cooked into a dish, temporarily increase your maximum hearts.","Akkala Highlands,Lanayru Great Spring",4 hearts,Extra Hearts
189,https://www.zeldadungeon.net/wiki/images/thumb/e/e6/Hyrule-Compendium-Cool-Safflina.png/72px-Hyrule-Compendium-Cool-Safflina.png,Cool Safflina,"This medicinal plant grows in high elevations, such as mountains in the Hebra or Gerudo regions. When cooked into a dish, it will temporarily increase your heat resistance.","Hebra Mountains,Gerudo Highlands",No restorative effect,Heat Resistance
190,https://www.zeldadungeon.net/wiki/images/thumb/e/e9/Hyrule-Compendium-Warm-Safflina.png/72px-Hyrule-Compendium-Warm-Safflina.png,Warm Safflina,"This medicinal plant grows in hot regions, such as the Gerudo Desert. It's warm to the touch and increases your cold resistance when cooked into a dish.","Gerudo Desert,Hyrule Ridge",No restorative effect,Cold Resistance
191,https://www.zeldadungeon.net/wiki/images/thumb/c/ca/Hyrule-Compendium-Electric-Safflina.png/72px-Hyrule-Compendium-Electric-Safflina.png,Electric Safflina,"This medicinal plant grows abundantly in the Gerudo Desert. Its peculiar fibers conduct electricity, which will increase your electricity resistance when cooked into a dish.","Gerudo Desert,Hyrule Ridge",No restorative effect,Shock Resistance
192,https://www.zeldadungeon.net/wiki/images/thumb/3/35/Hyrule-Compendium-Swift-Carrot.png/72px-Hyrule-Compendium-Swift-Carrot.png,Swift Carrot,"This carrot is cultivated extensively in Kakariko Village. It strengthens the legs and hips when cooked into a dish, which helps increase your movement speed.",Kakariko Village,½ heart,Speed Up
193,https://www.zeldadungeon.net/wiki/images/thumb/5/53/Hyrule-Compendium-Endura-Carrot.png/72px-Hyrule-Compendium-Endura-Carrot.png,Endura Carrot,"Highly valued as a medicinal plant, this carrot contains large amounts of nourishing energy. When cooked into a dish, it boosts your stamina beyond its maximum limit.","Hyrule Ridge,Faron Grasslands",2 hearts,Extra Stamina
194,https://www.zeldadungeon.net/wiki/images/thumb/5/52/Hyrule-Compendium-Fortified-Pumpkin.png/72px-Hyrule-Compendium-Fortified-Pumpkin.png,Fortified Pumpkin,"An extremely tough pumpkin raised in village fields. When cooked, that toughness manifests itself by considerably upping defense.",Kakariko Village,½ heart,Defense Up
195,https://www.zeldadungeon.net/wiki/images/thumb/a/ab/Hyrule-Compendium-Swift-Violet.png/72px-Hyrule-Compendium-Swift-Violet.png,Swift Violet,"This vitality-rich flower blooms mainly on cliffsides. When cooked into a dish, the nourishing compounds increase your movement speed.","Gerudo Highlands,Hebra Mountains",No restorative effect,Speed Up
196,https://www.zeldadungeon.net/wiki/images/thumb/f/f3/Hyrule-Compendium-Mighty-Thistle.png/72px-Hyrule-Compendium-Mighty-Thistle.png,Mighty Thistle,This medicinal plant is known for its sharp thorns and for the fruit it bears. The fruit contains a compound that increases attack power when cooked into a dish.,"West Necluda,Faron Grasslands",No restorative effect,Attack Up
197,https://www.zeldadungeon.net/wiki/images/thumb/3/38/Hyrule-Compendium-Armoranth.png/72px-Hyrule-Compendium-Armoranth.png,Armoranth,"This tough medicinal plant cannot be broken, but it can be cooked. Its durable yet flexible fibers raise your defense when cooked into a dish.","Akkala Highlands,Hyrule Ridge",No restorative effect,Defense Up
198,https://www.zeldadungeon.net/wiki/images/thumb/7/74/Hyrule-Compendium-Blue-Nightshade.png/72px-Hyrule-Compendium-Blue-Nightshade.png,Blue Nightshade,"A plant that grows in the quieter areas of Hyrule. At night, it gives off a soft glow. Cook with it to increase your stealth.","West Necluda,Lanayru Great Spring",No restorative effect,Stealth Up
199,https://www.zeldadungeon.net/wiki/images/thumb/5/55/Hyrule-Compendium-Silent-Princess.png/72px-Hyrule-Compendium-Silent-Princess.png,Silent Princess,"This lovely flower was said to have been a favorite of the princess of Hyrule. Once feared to have gone extinct, it's recently been spotted growing in the wild.","Hyrule Ridge,West Necluda",No restorative effect,Stealth Up
200,https://www.zeldadungeon.net/wiki/images/thumb/0/07/Hyrule-Compendium-Courser-Bee-Honey.png/72px-Hyrule-Compendium-Courser-Bee-Honey.png,Courser Bee Honey,Honey straight from the hive is chock-full of nutrients. Cooking this into a meal unlocks the potential of these nutrients and provides a stamina-recovery effect.,"Hyrule Field,Tabantha Frontier",2 hearts,Stamina Recovery
