#,Image,Name,Description,Common Locations,Hearts Recovered,Cooking Effects
059,https://www.zeldadungeon.net/wiki/images/thumb/3/3e/Hyrule-Compendium-Mighty-Porgy.png/72px-Hyrule-Compendium-Mighty-Porgy.png,Mighty Porgy,"This ocean-dwelling fish comes with one rude attitude. The compounds in its flesh elevate your competitive spirit when it's cooked into a dish, thus increasing your attack power.","Necluda Sea,Lanayru Sea",1 heart,Attack Up
060,https://www.zeldadungeon.net/wiki/images/thumb/f/fb/Hyrule-Compendium-Armored-Porgy.png/72px-Hyrule-Compendium-Armored-Porgy.png,Armored Porgy,"This porgy's body is covered in armor-hard scales. The compounds in its scales, when cooked into a dish, fortify your bones and temporarily boost your defense.","Necluda Sea,Lanayru Sea",1 heart,Defense Up
061,https://www.zeldadungeon.net/wiki/images/thumb/3/33/Hyrule-Compendium-Sneaky-River-Snail.png/72px-Hyrule-Compendium-Sneaky-River-Snail.png,Sneaky River Snail,"This large, glow-in-the-dark snail lives in fresh water. When cooked into a dish, it heightens your senses so you can move about silently.","West Necluda,Lanayru Great Spring",1 heart,Stealth Up
062,https://www.zeldadungeon.net/wiki/images/thumb/2/2b/Hyrule-Compendium-Hearty-Blueshell-Snail.png/72px-Hyrule-Compendium-Hearty-Blueshell-Snail.png,Hearty Blueshell Snail,"This snail lives on sandy beaches in large numbers. Its flesh contains a high amount of stimulants, so when cooked into a dish, it temporarily increases your maximum hearts.","Lanayru Sea,Necluda Sea",1 heart,Extra Hearts
063,https://www.zeldadungeon.net/wiki/images/thumb/b/b4/Hyrule-Compendium-Razorclaw-Crab.png/72px-Hyrule-Compendium-Razorclaw-Crab.png,Razorclaw Crab,"This crab is well known for its exceptionally sharp pincers. When cooked, the strength compound in its claws will increase your attack power.","Necluda Sea,East Necluda",1 heart,Attack Up
064,https://www.zeldadungeon.net/wiki/images/thumb/d/d2/Hyrule-Compendium-Ironshell-Crab.png/72px-Hyrule-Compendium-Ironshell-Crab.png,Ironshell Crab,"This crab's shell is particularly hard. When cooked into dish, its fat and meat bolster the body to increase your defense.","Necluda Sea,East Necluda",1 heart,Defense Up
065,https://www.zeldadungeon.net/wiki/images/thumb/2/20/Hyrule-Compendium-Bright-Eyed-Crab.png/72px-Hyrule-Compendium-Bright-Eyed-Crab.png,Bright-Eyed Crab,"This crab appears in large numbers when it rains. Once bite of its delectable meat, and you'll forget all your exhaustion. Replenishes your stamina when cooked into a dish.","Lanayru Great Spring,Eldin Canyon",1 heart,Stamina Recovery
066,https://www.zeldadungeon.net/wiki/images/thumb/9/90/Hyrule-Compendium-Fairy.png/72px-Hyrule-Compendium-Fairy.png,Fairy,"This fairy will fly from your pouch and heal all your wounds the moment you lose your last heart. It's easily mistaken for a firefly at first, but it glows in the daylight as well as night.",GreaterHyrule,5 hearts,None
067,https://www.zeldadungeon.net/wiki/images/thumb/f/f4/Hyrule-Compendium-Winterwing-Butterfly.png/72px-Hyrule-Compendium-Winterwing-Butterfly.png,Winterwing Butterfly,The powdery scales of this butterfly's wings cool the air around it. Watching it flutter around snowflakes is a thing of beauty. Cook it with monster parts for a heat-resistant elixir.,"Hyrule Ridge,Tabantha Frontier",No restorative effect,Heat Resistance
068,https://www.zeldadungeon.net/wiki/images/thumb/b/bd/Hyrule-Compendium-Summerwing-Butterfly.png/72px-Hyrule-Compendium-Summerwing-Butterfly.png,Summerwing Butterfly,A butterfly found in the woods and plains of warm regions. Its wings absorb the warmth of the sun. Cook it with monster parts to create an elixir that makes you feel warm and fuzzy.,"Great Hyrule Forest,Eldin Mountains",No restorative effect,Cold Resistance
069,https://www.zeldadungeon.net/wiki/images/thumb/2/29/Hyrule-Compendium-Thunderwing-Butterfly.png/72px-Hyrule-Compendium-Thunderwing-Butterfly.png,Thunderwing Butterfly,"This rare butterfly only shows itself when it rains. The organs in its body produce an insulating compound. When made into an elixir, it offers electrical resistance.","Hyrule Ridge,Gerudo Highlands",No restorative effect,Shock Resistance
070,https://www.zeldadungeon.net/wiki/images/thumb/a/a7/Hyrule-Compendium-Smotherwing-Butterfly.png/72px-Hyrule-Compendium-Smotherwing-Butterfly.png,Smotherwing Butterfly,A butterfly found in the woods and plains of warm regions. Its wings absorb the warmth of the sun. Cook it with monster parts to create an elixir that makes you feel warm and fuzzy.,"Eldin Canyon,Death Mountain",No restorative effect,Flame Guard
071,https://www.zeldadungeon.net/wiki/images/thumb/c/c2/Hyrule-Compendium-Cold-Darner.png/72px-Hyrule-Compendium-Cold-Darner.png,Cold Darner,"This dragonfly prefers the cool shade of trees to the warmth of the sun. Its wings disperse heat from its body, which can be cooked into a heat-resistance elixir.","Tabantha Frontier,Hyrule Ridge",No restorative effect,Heat Resistance
072,https://www.zeldadungeon.net/wiki/images/thumb/b/b3/Hyrule-Compendium-Warm-Darner.png/72px-Hyrule-Compendium-Warm-Darner.png,Warm Darner,This dragonfly has a special organ that causes it to sweat profusely. Cook it with monster parts for an elixir that will raise your core temperature so you can resist the cold.,"Akkala Highlands,Hyrule Field",No restorative effect,Cold Resistance
073,https://www.zeldadungeon.net/wiki/images/thumb/a/a9/Hyrule-Compendium-Electric-Darner.png/72px-Hyrule-Compendium-Electric-Darner.png,Electric Darner,This rare dragonfly only appears in the rain. Its wings direct electricity away from its body. Cook it with monster parts for an electricity-resistance elixir.,"Hyrule Ridge,Gerudo Desert",No restorative effect,Shock Resistance
074,https://www.zeldadungeon.net/wiki/images/thumb/f/f8/Hyrule-Compendium-Restless-Cricket.png/72px-Hyrule-Compendium-Restless-Cricket.png,Restless Cricket,A very energetic cricket. Cook it with monster parts to create a stamina-recovery elixir.,"Hyrule Field,East Necluda",No restorative effect,Stamina Recovery
075,https://www.zeldadungeon.net/wiki/images/thumb/0/06/Hyrule-Compendium-Bladed-Rhino-Beetle.png/72px-Hyrule-Compendium-Bladed-Rhino-Beetle.png,Bladed Rhino Beetle,This beetle's razor-sharp horns demand that you handle it with care. Boil the horns alongside monster parts to concoct an elixir that will raise your attack power.,"West Necluda,East Necluda",No restorative effect,Attack Up
076,https://www.zeldadungeon.net/wiki/images/thumb/f/f0/Hyrule-Compendium-Rugged-Rhino-Beetle.png/72px-Hyrule-Compendium-Rugged-Rhino-Beetle.png,Rugged Rhino Beetle,"This beetle's hard body resembles armor. When the shell is cooked with monster parts, the resulting elixir boosts your defense.","Hyrule Field,Faron Grasslands",No restorative effect,Defense Up
077,https://www.zeldadungeon.net/wiki/images/thumb/a/a9/Hyrule-Compendium-Energetic-Rhino-Beetle.png/72px-Hyrule-Compendium-Energetic-Rhino-Beetle.png,Energetic Rhino Beetle,"This valuable beetle can live up to ten years. When cooked with monster parts, its impressive vitality translates into an elixir that will greatly restore your stamina.","Akkala Highlands,West Necluda",No restorative effect,Stamina Recovery
078,https://www.zeldadungeon.net/wiki/images/thumb/2/28/Hyrule-Compendium-Sunset-Firefly.png/72px-Hyrule-Compendium-Sunset-Firefly.png,Sunset Firefly,"These fireflies glow gently in the dark. When cooked with monster parts, the compound that causes it to glow results in an elixir that will allow you to move more quietly.","West Necluda,Great Hyrule Forest",No restorative effect,Stealth Up
079,https://www.zeldadungeon.net/wiki/images/thumb/5/5d/Hyrule-Compendium-Hot-Footed-Frog.png/72px-Hyrule-Compendium-Hot-Footed-Frog.png,Hot-Footed Frog,A quick frog that can be found hopping around near water. Cook it with monster parts to draw out its speed-boost effect.,"Lanayru Great Spring,Hyrule Ridge",No restorative effect,Speed Up
080,https://www.zeldadungeon.net/wiki/images/thumb/a/a7/Hyrule-Compendium-Tireless-Frog.png/72px-Hyrule-Compendium-Tireless-Frog.png,Tireless Frog,"This rare frog only ventures out in the rain. When cooked with monster parts, the elixir it produces will temporarily increase your maximum stamina.","Lanayru Great Spring,Hyrule Ridge",No restorative effect,Extra Stamina
081,https://www.zeldadungeon.net/wiki/images/thumb/3/32/Hyrule-Compendium-Hightail-Lizard.png/72px-Hyrule-Compendium-Hightail-Lizard.png,Hightail Lizard,"A lizard found throughout Hyrule. It's a but slow to react at times, but it given a chance to escape, it will dart off quickly. Cook it with monster parts for a speed-boosting elixir.","West Necluda,East Necluda",No restorative effect,Speed Up
082,https://www.zeldadungeon.net/wiki/images/thumb/3/30/Hyrule-Compendium-Hearty-Lizard.png/72px-Hyrule-Compendium-Hearty-Lizard.png,Hearty Lizard,"This rare lizard lives deep in the forests. It feeds on high-nutrient foods, giving it great vitality. When used to make elixirs, they temporarily increase your maximum hearts.","Gerudo Desert,Necluda Sea",No restorative effect,Extra Hearts
083,https://www.zeldadungeon.net/wiki/images/thumb/d/dd/Hyrule-Compendium-Fireproof-Lizard.png/72px-Hyrule-Compendium-Fireproof-Lizard.png,Fireproof Lizard,"This rare lizard can only be found in the Eldin region. Its scales have heat-resistant properties, so when cooked with monster parts it produces a heat-resistance elixir.","Eldin Canyon,Death Mountain",No restorative effect,Flame Guard
